variety,rows
Abouriou,3
Agiorgitiko,56
Aidani,1
Airen,3
Albana,21
Albanello,1
Albarossa,1
Aleatico,5
Alfrocheiro,14
Alicante,5
Alicante Bouschet,47
Aligoté,27
Altesse,6
Alvarelhão,2
Alvarinho,123
Alvarinho-Chardonnay,5
Ansonica,2
Antão Vaz,15
Apple,2
Aragonez,9
Aragonês,9
Argaman,3
Arinto,69
Arneis,77
Asprinio,3
Assyrtico,39
Assyrtiko,15
Athiri,1
Auxerrois,26
Avesso,6
Azal,3
Babić,4
Babosa Negro,1
Bacchus,1
Baco Noir,15
Baga,26
Baga-Touriga Nacional,2
Barbera-Nebbiolo,1
Bastardo,2
Biancale,1
Biancolella,1
Biancu Gentile,1
Bical,13
Black Monukka,1
Black Muscat,10
Blanc du Bois,6
Blatina,1
Blauburger,1
Blauburgunder,1
Blauer Portugieser,2
Blaufränkisch,212
Bobal,21
Bobal-Cabernet Sauvignon,1
Bombino Bianco,2
Bombino Nero,1
Bonarda,98
Bovale,3
Boğazkere,4
Brachetto,14
Braucol,5
Bual,7
Cabernet,10
Cabernet Blend,75
Cabernet Franc-Cabernet Sauvignon,16
Cabernet Franc-Carmenère,2
Cabernet Franc-Lemberger,2
Cabernet Franc-Malbec,3
Cabernet Franc-Merlot,17
Cabernet Merlot,21
Cabernet Moravia,2
Cabernet Pfeffer,2
Cabernet Sauvignon Grenache,2
Cabernet Sauvignon-Barbera,1
Cabernet Sauvignon-Cabernet Franc,21
Cabernet Sauvignon-Carmenère,41
Cabernet Sauvignon-Malbec,16
Cabernet Sauvignon-Merlot,114
Cabernet Sauvignon-Merlot-Shiraz,2
Cabernet Sauvignon-Sangiovese,7
Cabernet Sauvignon-Shiraz,26
Cabernet Sauvignon-Syrah,97
Cabernet Sauvignon-Tempranillo,12
Cabernet-Malbec,1
Cabernet-Shiraz,2
Cabernet-Syrah,12
Canaiolo,3
Cannonau,28
Caprettone,1
Carcajolu,1
Carignan-Grenache,8
Carignan-Syrah,2
Carignane,28
Carignano,13
Carineña,5
Cariñena-Garnacha,2
Carmenère-Cabernet Sauvignon,7
Carmenère-Syrah,6
Carricante,34
Casavecchia,3
Castelão,29
Catalanesca,1
Catarratto,28
Cayuga,2
Centesimino,1
Cerceal,3
Cercial,1
Cesanese,1
Cesanese d'Affile,5
Chambourcin,17
Chancellor,2
Charbono,24
Chardonel,1
Chardonnay Weissburgunder,2
Chardonnay-Albariño,2
Chardonnay-Pinot Blanc,4
Chardonnay-Pinot Gris,1
Chardonnay-Riesling,1
Chardonnay-Sauvignon,6
Chardonnay-Sauvignon Blanc,4
Chardonnay-Semillon,6
Chardonnay-Viognier,32
Chasselas,8
Chelois,2
Chenin Blanc-Chardonnay,28
Chenin Blanc-Sauvignon Blanc,6
Chenin Blanc-Viognier,11
Chinuri,2
Ciliegiolo,3
Cinsault,38
Clairette,3
Claret,33
Cococciola,1
Coda di Volpe,17
Colombard,23
Colombard-Sauvignon Blanc,17
Colombard-Ugni Blanc,7
Colorino,1
Cortese,65
"Corvina, Rondinella, Molinara",574
Counoise,11
Códega do Larinho,4
Dafni,1
Debit,2
Diamond,1
Dolcetto,168
Dornfelder,26
Doña Blanca,1
Duras,7
Durella,8
Durif,2
Edelzwicker,4
Ekigaïna,1
Elbling,3
Emir,3
Encruzado,34
Erbaluce,2
Espadeiro,1
Falanghina,82
Favorita,1
Fer Servadou,2
Fernão Pires,34
Feteasca,2
Feteasca Neagra,6
Feteascǎ Regalǎ,5
Fiano,135
Folle Blanche,1
Forcallà,1
Francisa,1
Franconia,1
Frankovka,1
Frappato,38
Freisa,2
Friulano,108
Früburgunder,1
Fumé Blanc,67
Furmint,45
G-S-M,169
Gaglioppo,13
Gamay Noir,21
Gamza,1
Garganega,246
Garnacha,308
Garnacha Blanca,32
Garnacha Blend,2
Garnacha Tintorera,8
Garnacha-Cabernet,1
Garnacha-Cariñena,1
Garnacha-Monastrell,3
Garnacha-Syrah,12
Garnacha-Tempranillo,5
Gelber Muskateller,32
Gelber Traminer,1
Gewürztraminer-Riesling,7
Glera,596
Godello,76
Gouveio,2
Graciano,40
Gragnano,2
Grauburgunder,12
Graševina,1
Grecanico,8
Grechetto,14
Greco,105
Greco Bianco,5
Grenache Blanc,121
Grenache Blend,9
Grenache Gris,1
Grenache Noir,3
Grenache-Carignan,16
Grenache-Mourvèdre,5
Grenache-Shiraz,3
Grenache-Syrah,50
Grignolino,2
Grillo,119
Grolleau,2
Groppello,1
Gros and Petit Manseng,44
Gros Manseng,22
Gros Plant,1
Hondarrabi Zuri,16
Hárslevelü,2
Incrocio Manzoni,3
Insolia,27
Inzolia,28
Irsai Oliver,1
Jacquez,3
Jacquère,23
Jaen,7
Jampal,1
Johannisberg Riesling,9
Kadarka,2
Kalecik Karasi,13
Kangoun,1
Karalahna,1
Karasakiz,1
Kekfrankos,9
Kerner,25
Kinali Yapincak,1
Kisi,5
Kotsifali,1
Kuntra,1
Lagrein,72
Lambrusco,47
Lambrusco di Sorbara,18
Lambrusco Grasparossa,17
Lambrusco Salamino,2
Lemberger,34
Listán Negro,2
Loin de l'Oeil,9
Loureiro,28
Loureiro-Arinto,1
Macabeo,22
Macabeo-Chardonnay,4
Macabeo-Moscatel,1
Madeleine Angevine,2
Magliocco,3
Malagousia,9
Malagouzia,4
Malagouzia-Chardonnay,1
Malbec Blend,3
